Token 124: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 125: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 126: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 127: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 128: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 129: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 130: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 131: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 132: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 133: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 134: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 135: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 136: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 137: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 138: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 139: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 140: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 141: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 142: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 143: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 144: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 145: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 146: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 147: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 148: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 149: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 150: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 151: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 152: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 153: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 154: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 155: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 156: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 157: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 158: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 159: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 160: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 161: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 162: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 163: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 164: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 165: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 166: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
